Type,Trans Date,Post Date,Description,Amount
SALE,05/25/2016,05/27/2016,"RACETRAC 2371 00023713",-24.65
SALE,02/11/2016,02/12/2016,"SARAVANAA BHAVAN PLANO",-24.00
SALE,02/29/2016,03/01/2016,"MCDONALD'S M7190 OF TX",-3.45
SALE,05/23/2016,05/24/2016,"ULTRAMOBILE/UNIVISION",-32.39
SALE,05/16/2016,05/17/2016,"RMLA  STONEBRIAR",-9.00
SALE,03/15/2016,03/17/2016,"TAJ CHAAT HOUSE PLANO",-5.43
SALE,03/09/2016,03/10/2016,"4977 GREAT CLIPS AT SIGNA",-20.00
PAYMENT,04/29/2016,04/29/2016,"Payment Thank You-Mobile",616.54
SALE,02/13/2016,02/15/2016,"ROSS STORES #1222",-18.39
SALE,05/26/2016,05/27/2016,"JCP STARBUCKS",-6.71
RETURN,04/07/2016,04/08/2016,"HAUTLK RACK8885478438",243.50
SALE,05/22/2016,05/23/2016,"HYDERABAD HOUSE PLANO",-24.34
SALE,05/06/2016,05/08/2016,"BLUE MESA GRILL",-13.00
SALE,03/18/2016,03/20/2016,"SARAVANAA BHAVAN PLANO",-56.00
SALE,05/09/2016,05/10/2016,"PIZZA HUT 27706",-12.99
SALE,05/05/2016,05/06/2016,"Amazon.com",-133.44
ADJUSTMENT,11/25/2015,03/18/2016,"IIAA LIMITED",-75.20
RETURN,04/07/2016,04/08/2016,"HAUTLK RACK8885478438",146.07
SALE,02/22/2016,02/23/2016,"JCP STARBUCKS",-4.60
SALE,04/07/2016,04/10/2016,"SHELL OIL 57545274409",-23.15
SALE,02/11/2016,02/12/2016,"JCP STARBUCKS",-4.60
SALE,05/16/2016,05/17/2016,"JCP STARBUCKS",-7.04
SALE,02/23/2016,02/24/2016,"SARAVANAA BHAVAN PLANO",-13.00
SALE,02/13/2016,02/14/2016,"PIZZA HUT 27706",-10.83
SALE,05/05/2016,05/06/2016,"KROGER #598",-54.95
SALE,03/09/2016,03/10/2016,"JCP STARBUCKS",-4.60
SALE,03/13/2016,03/14/2016,"BAWARCHI BIRYANI POINT",-24.34
SALE,02/15/2016,02/16/2016,"SARAVANAA BHAVAN PLANO",-28.96
SALE,04/30/2016,05/01/2016,"MCDONALD'S F14322",-3.24
SALE,03/21/2016,03/22/2016,"HYDERABAD HOUSE PLANO",-46.00
SALE,04/29/2016,05/01/2016,"UDIPI CAFE",-13.00
SALE,02/13/2016,02/14/2016,"NETFLIX.COM",-9.73
SALE,02/16/2016,02/17/2016,"HYDERABAD HOUSE PLANO",-6.99
SALE,02/19/2016,02/21/2016,"BAWARCHI BIRYANI POINT",-24.34
SALE,03/04/2016,03/07/2016,"THAI BOX - ADDISON",-10.00
SALE,03/03/2016,03/06/2016,"APPLE STORE  #R302",-1830.51
PAYMENT,02/11/2016,02/11/2016,"Payment Thank You-Mobile",2065.71
